<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>,<OI>
CC_HNX-INDEX,20200408,13074,428747562200,60107170100,11474,78524100,74643000
CC_VNINDEX,20200407,147361,4114709000000,454500170700,118509,508716660,493541360
CC_HNX-INDEX,20200407,15015,585929006400,80001185600,13050,91588400,89966400
CC_VNINDEX,20200406,150756,3776470000000,625902814850,93947,619515310,421084280
CC_HNX-INDEX,20200406,17034,575134623600,45631429400,12273,96000500,86960100
CC_VNINDEX,20200403,113824,2654035000000,664855743500,85910,431515920,287239310
CC_HNX-INDEX,20200403,14549,362426444000,120379629100,11098,80517200,67187000
CC_VNINDEX,20200401,95154,2112750000000,1522203139500,73502,435092290,297860940
CC_HNX-INDEX,20200401,10711,266922238500,58833947500,9277,66466400,52921400
CC_VNINDEX,20200331,103447,2542140000000,761105961150,94769,367347150,457903090
CC_HNX-INDEX,20200331,11384,337212740200,29182154500,10866,66230900,82175700
CC_VNINDEX,20200330,89729,2390291490000,934762274300,67085,257022410,410322930
CC_HNX-INDEX,20200330,10167,358012879900,71709895200,10230,52551100,78579600
CC_VNINDEX,20200327,114485,2853346000000,1188828163380,87730,335877670,404999790
CC_HNX-INDEX,20200327,10626,316580401500,128798812800,10130,58877300,81906100
CC_VNINDEX,20200326,104083,2676537000000,1233432479500,87253,270735130,366572320
CC_HNX-INDEX,20200326,11277,316633257000,74255649500,10520,62529200,79716800
CC_VNINDEX,20200325,114375,3060186000000,1665101781600,90922,370934760,421979630
CC_HNX-INDEX,20200325,11655,371036914600,59755770100,10773,72996900,72414900
CC_VNINDEX,20200324,99520,3002382000000,973955612180,93254,373137640,442771020
CC_HNX-INDEX,20200324,12672,407266072900,210514963300,11911,74600600,91303400
CC_VNINDEX,20200323,86592,3166471000000,1508087836900,82474,256676270,548057420
CC_HNX-INDEX,20200323,11913,652225875000,102305175300,13036,76478100,112934200
CC_VNINDEX,20200320,102353,3115588000000,908162370400,82054,348983750,425005960
CC_HNX-INDEX,20200320,11085,391509475700,71462211500,11788,75900000,83703200
CC_VNINDEX,20200319,111128,3237963000000,545626242500,79295,460031460,538224420
CC_HNX-INDEX,20200319,16058,471894289800,117472330200,12331,119827400,119445900
CC_VNINDEX,20200318,121612,2880143000000,1259351970000,89117,440661200,334081610
CC_HNX-INDEX,20200318,16074,501969064700,73768995600,11033,115792700,88822800
CC_VNINDEX,20200317,0,3050048000000,1067394819170,0,0,0
CC_HNX-INDEX,20200317,14208,497243495400,41669307600,10608,88954700,70319600
CC_VNINDEX,20200316,0,3084410410000,1299833973250,0,0,0
CC_HNX-INDEX,20200316,12695,421583787900,5963319100,10375,78545300,62852500
CC_VNINDEX,20200313,0,4272534000000,1718016540000,0,0,0
CC_HNX-INDEX,20200313,14693,831585242400,63676129800,13853,116875800,113837800
CC_VNINDEX,20200312,109930,4318451000000,715879875390,94495,445023040,496975710
CC_HNX-INDEX,20200312,16900,783647454900,47312700000,16554,98768900,110541600
CC_VNINDEX,20200311,139305,4068160910000,1228868286500,88626,461026930,467784290
CC_HNX-INDEX,20200311,0,778365231800,77304995800,0,0,0
CC_VNINDEX,20200310,138147,3608198050000,916389525500,87520,478993240,384541840
CC_HNX-INDEX,20200310,15512,647573509000,27464820500,12622,85353600,91164000
CC_VNINDEX,20200309,114122,4288995000000,1121811734050,94301,347576500,558019460
CC_HNX-INDEX,20200309,14888,766336775900,127114758500,16352,67164000,128189400
CC_VNINDEX,20200306,111925,2592707000000,876153109930,77175,359626030,310892220
CC_HNX-INDEX,20200306,12521,576908652300,33402016300,13034,84754300,106746500
CC_VNINDEX,20200305,101750,2907524000000,598202568600,89780,397731550,398467040
CC_HNX-INDEX,20200305,14372,1307770241300,12612794400,18162,142248900,146097600
CC_VNINDEX,20200304,102319,2628219000000,1094636570300,78069,440442320,323638180
CC_HNX-INDEX,20200304,13381,992918761400,40196490400,14696,130464400,125352100
CC_VNINDEX,20200303,93334,2904778000000,937513569200,82407,364834690,317525260
CC_HNX-INDEX,20200303,14216,903728915200,21047463200,14460,115228400,114077300
CC_VNINDEX,20200302,93026,2769295000000,693785945260,70431,321167450,293080950
CC_HNX-INDEX,20200302,12596,833670464400,107933787300,14448,102543400,107693600
CC_VNINDEX,20200228,120655,3207604000000,1474946141900,76004,347706330,335643270
CC_HNX-INDEX,20200228,15406,702955631000,13914203100,13137,100236100,101837800
CC_VNINDEX,20200227,61663,2623634000000,785602036600,52509,200487860,183360480
CC_HNX-INDEX,20200227,13578,458439822100,300515500,11575,79196400,67033700
CC_VNINDEX,20200226,94510,2587353750000,250618505400,71219,256527310,247567770
CC_HNX-INDEX,20200226,12258,518851788600,244272452900,11370,92852200,77757500
CC_VNINDEX,20200225,116896,2963303590000,748715329800,67649,379197270,281430040
CC_HNX-INDEX,20200225,13733,506190918500,120080606800,10594,79034700,67106100
CC_VNINDEX,20200224,131916,4145546690000,791147587310,81266,366785260,450632270
CC_HNX-INDEX,20200224,15616,711141737500,54318514200,12193,88194100,99900400
CC_VNINDEX,20200221,111114,3119054000000,710639304200,83078,305956010,350012550
CC_HNX-INDEX,20200221,12010,385440409800,29755896000,10719,56705900,70247700
CC_VNINDEX,20200220,95004,2785322000000,231273780000,80065,344781410,353794520
CC_HNX-INDEX,20200220,13860,423253421400,6728120000,10812,66895300,68818800
CC_VNINDEX,20200219,94527,2528386000000,904434683600,72063,318044940,281806000
CC_HNX-INDEX,20200219,12096,351177721300,15409812200,9497,61179300,57112600
CC_VNINDEX,20200218,96318,2702563000000,597304673600,76332,313229440,303604640
CC_HNX-INDEX,20200218,11390,402985684300,465952252600,10549,57387200,58035600
CC_VNINDEX,20200217,88691,2481085000000,665317863500,71583,289559580,289063740
CC_HNX-INDEX,20200217,11289,328901467300,37395480300,10397,61575400,58405800
CC_VNINDEX,20200214,96386,2688561240000,906705903200,76508,314528430,324085480
CC_HNX-INDEX,20200214,10942,412260318300,57206028600,10731,59086600,61623200
