<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>,<OI>
NN_VNINDEX,20210319,84320,582011200,74307317,205270,1760553000,2226181000
NN_HNX-INDEX,20210319,84320,140322896,11116821,205270,1760553000,2226181000
NN_VNINDEX,20210318,84320,554147600,40310348,205270,1760553000,2226181000
NN_HNX-INDEX,20210318,84320,143093257,5005382,205270,1760553000,2226181000
NN_VNINDEX,20210317,84320,628147900,46424578,205270,1760553000,2226181000
NN_HNX-INDEX,20210317,84320,142987724,6559280,205270,1760553000,2226181000
NN_HNX-INDEX,20210316,84320,164936693,3334780,205270,1760553000,2226181000
NN_UPCOM-INDEX,20210316,84320,71981660,24921609,205270,1760553000,2226181000
NN_VNINDEX,20210315,84320,616698600,36487332,205270,1760553000,2226181000
NN_HNX-INDEX,20210315,84320,136837453,4531433,205270,1760553000,2226181000
NN_VNINDEX,20210312,84320,571414100,26972294,205270,1760553000,2226181000
NN_HNX-INDEX,20210312,84320,140815735,3756562,205270,1760553000,2226181000
NN_VNINDEX,20210311,84320,568292300,35060998,205270,1760553000,2226181000
NN_HNX-INDEX,20210311,84320,158702767,1415556,205270,1760553000,2226181000
NN_VNINDEX,20210310,84320,547558000,153525273,205270,1760553000,2226181000
NN_HNX-INDEX,20210310,84320,147168549,16049463,205270,1760553000,2226181000
NN_VNINDEX,20210309,84320,575592300,19335902,205270,1760553000,2226181000
NN_HNX-INDEX,20210309,84320,143878969,6706002,205270,1760553000,2226181000
NN_VNINDEX,20210308,84320,608624800,18035906,205270,1760553000,2226181000
NN_HNX-INDEX,20210308,84320,143326715,1384656,205270,1760553000,2226181000
NN_VNINDEX,20210305,84320,537313300,20498107,205270,1760553000,2226181000
NN_HNX-INDEX,20210305,84320,151837717,6155011,205270,1760553000,2226181000
NN_VNINDEX,20210304,84320,612855400,37190370,205270,1760553000,2226181000
NN_HNX-INDEX,20210304,84320,171277656,4840837,205270,1760553000,2226181000
NN_VNINDEX,20210303,84320,563365200,41384009,205270,1760553000,2226181000
NN_HNX-INDEX,20210303,84320,118078208,13089409,205270,1760553000,2226181000
NN_VNINDEX,20210302,84320,512197000,40220867,205270,1760553000,2226181000
NN_HNX-INDEX,20210302,84320,111067422,8432847,205270,1760553000,2226181000
NN_VNINDEX,20210301,84320,574423600,49625810,205270,1760553000,2226181000
NN_HNX-INDEX,20210301,84320,121160252,5833709,205270,1760553000,2226181000
NN_VNINDEX,20210226,84320,506960700,23101304,205270,1760553000,2226181000
NN_HNX-INDEX,20210226,84320,113027062,10302785,205270,1760553000,2226181000
NN_VNINDEX,20210225,84320,468526100,15996256,205270,1760553000,2226181000
NN_HNX-INDEX,20210225,84320,113362762,2103663,205270,1760553000,2226181000
